,STATION,X,Y,LINE
18,INTERVALE AVE,-73.89661738461646,4.0,5-Feb
269,INWOOD - 207TH ST,-73.91989900100465,4.0,A
252,JACKSON AVE,-73.9077019387083,4.0,5-Feb
437,JACKSON HTS - ROOSEVELT AV,-73.89129866519697,4.0,E-F-M-R
278,JAMAICA - 179TH ST,-73.78381700176453,4.0,F
62,JAMAICA - VAN WYCK,-73.81701287135405,4.0,E
246,JAMAICA CTR - PARSONS / ARCHER,-73.80109632298924,4.0,E-J-Z
367,JAY ST - METROTECH,-73.98721815267317,4.0,A-C-F
376,JAY ST - METROTECH,-73.98605667854612,4.0,N-R
304,JEFFERSON ST,-73.9229130000312,4.0,L
23,JUNCTION BLVD,-73.86952700103515,4.0,7-7 Express
216,JUNIUS ST,-73.90244864183562,4.0,4-Mar
63,KEW GARDENS - UNION TPKE,-73.8303702709878,4.0,E-F
331,KINGS HWY,-73.98037300229343,4.0,N
325,KINGS HWY,-73.9723553085244,4.0,F
329,KINGS HWY,-73.95760873538083,4.0,B-Q
258,KINGSBRIDGE RD,-73.89717400101743,4.0,4
58,KINGSBRIDGE RD,-73.8935090000331,4.0,B-D
7,KINGSTON - THROOP AVES,-73.94085899871263,4.0,A-C
135,KINGSTON AVE,-73.94215978392963,4.0,4-Mar
302,KNICKERBOCKER AVE,-73.91972000188625,4.0,M
299,KOSCIUSZKO ST,-73.92850899927413,4.0,J
453,LAFAYETTE AVE,-73.97394599849406,4.0,A-C
142,LEXINGTON AVE - 53RD ST,-73.96907237490204,4.0,E-M
48,LEXINGTON AVE - 59TH ST,-73.9679670004732,4.0,4-5-6-6 Express
356,LEXINGTON AVE - 59TH ST,-73.96737501711436,4.0,N-R-W
350,LEXINGTON AVE - 63RD ST,-73.96608964413245,4.0,F-Q
384,LIBERTY AVE,-73.89654800103929,4.0,A-C
215,LIVONIA AVE,-73.90056237226057,4.0,L
152,LONG ISLAND CITY - COURT SQ,-73.94381559597835,4.0,G
249,LONGWOOD AVE,-73.89643499897414,4.0,6
75,LORIMER ST,-73.94735499884204,4.0,J-M
71,LORIMER ST,-73.95024799996972,4.0,L
370,LOWER EAST SIDE - 2ND AVE,-73.98993800003434,4.0,F
265,MARBLE HILL - 225TH ST,-73.90983099923551,4.0,1
138,MARCY AVE,-73.95783200075729,4.0,J-M-Z
147,METROPOLITAN AVE,-73.9514239994525,4.0,G
22,METS - WILLETS POINT,-73.8456249984179,4.0,7-7 Express
423,MIDDLE VILLAGE - METROPOLITAN AVE,-73.88957722978091,4.0,M
90,MIDDLETOWN RD,-73.83632199755944,4.0,6-6 Express
151,MONTROSE AVE,-73.93979284713505,4.0,L
305,MORGAN AVE,-73.93314700024209,4.0,L
124,MORRIS PARK,-73.86049500117254,4.0,5
50,MORRISON AV - SOUNDVIEW,-73.87451599929486,4.0,6
273,MOSHOLU PKWY,-73.88465499988732,4.0,4
261,MT EDEN AVE,-73.9146849986034,4.0,4
232,MYRTLE - WYCKOFF AVES,-73.91217899939602,4.0,M
211,MYRTLE - WYCKOFF AVES,-73.9109757182647,4.0,L
372,MYRTLE AVE,-73.9356230012996,4.0,J-M-Z
362,MYRTLE-WILLOUGHBY AVES,-73.94906699890156,4.0,G
136,NASSAU AVE,-73.95118300016523,4.0,G
344,NECK RD,-73.95507827493762,4.0,Q
332,NEPTUNE AVE,-73.97459272818807,4.0,F
40,NEREID AVE (238 ST),-73.8543153107622,4.0,5-Feb
127,NEVINS ST,-73.98040679874578,4.0,2-3-4-5
222,NEW LOTS AVE,-73.89927796057142,4.0,L
212,NEW LOTS AVE,-73.88411070800329,4.0,4-Mar
323,NEW UTRECHT AVE,-73.99635300025969,4.0,N
112,NEWKIRK AVE,-73.96269486837261,4.0,B-Q
131,NEWKIRK AVE,-73.94829990822407,4.0,5-Feb
237,NORTHERN BLVD,-73.90606508052358,4.0,E-M-R
274,NORWOOD - 205TH ST,-73.87885499918691,4.0,D
12,NORWOOD AVE,-73.87962599910783,4.0,J-Z
444,NOSTRAND AVE,-73.9504262489579,4.0,4-Mar
126,NOSTRAND AVE,-73.95042600099683,4.0,A-C
99,OCEAN PKWY,-73.96850099975177,4.0,Q
195,OZONE PARK - LEFFERTS BLVD,-73.82579799906613,4.0,A-S
402,PARK PL,-74.00881099997359,4.0,3-Feb
81,PARK PL,-73.95762400074634,4.0,S
462,PARKCHESTER,-73.86081600108396,4.0,6-6 Express
113,PARKSIDE AVE,-73.96145343987648,4.0,Q
186,PARSONS BLVD,-73.80328900021885,4.0,F
200,PELHAM BAY PARK,-73.82812100059289,4.0,6-6 Express
38,PELHAM PKWY,-73.86748067850041,4.0,5-Feb
125,PELHAM PKWY,-73.85535900043564,4.0,5
4,PENNSYLVANIA AVE,-73.89488591154061,4.0,4-Mar
454,PRESIDENT ST,-73.95058920022207,4.0,5-Feb
399,PRINCE ST,-73.99770200045987,4.0,N-Q-R-W
380,PROSPECT AVE,-73.99287200067424,4.0,D-N-R
253,PROSPECT AVE,-73.90177778730917,4.0,5-Feb
60,PROSPECT PARK,-73.96203130426609,4.0,B-Q-S
306,QUEENS PLZ,-73.93713823965695,4.0,E-M-R
102,QUEENSBORO PLZ,-73.9401635351909,4.0,7-7 Express-N-W
37,RALPH AVE,-73.92078599933306,4.0,A-C
424,RECTOR ST,-74.01378300119742,4.0,1
421,RECTOR ST,-74.01297456253795,4.0,R-W
217,ROCKAWAY AVE,-73.90895833584449,4.0,4-Mar
116,ROCKAWAY AVE,-73.91194599726617,4.0,A-C
103,ROCKAWAY BLVD,-73.8438529979573,4.0,A-S
183,ROCKAWAY PARK - BEACH 116 ST,-73.83559008701239,4.0,A-S
351,ROOSEVELT ISLAND - MAIN ST,-73.95323499978866,4.0,F
220,SARATOGA AVE,-73.91633025007947,4.0,4-Mar
233,SENECA AVE,-73.90758199885423,4.0,M
327,SHEEPSHEAD BAY,-73.95405791257907,4.0,B-Q
225,SHEPHERD AVE,-73.88074999747269,4.0,A-C
42,SIMPSON ST,-73.89306639507903,4.0,5-Feb
374,SMITH - 9TH STS,-73.99589172790934,4.0,F-G
417,SOUTH FERRY,-74.01316895919258,4.0,1
466,SPRING ST,-73.99714100006673,4.0,4-6-6 Express
394,SPRING ST,-74.00373899843763,4.0,A-C-E
52,ST LAWRENCE AVE,-73.86761799923673,4.0,6
298,STEINWAY ST,-73.9205264716827,4.0,E-M-R
133,STERLING ST,-73.95072891124937,4.0,5-Feb
245,SUTPHIN BLVD,-73.81083299897232,4.0,F
64,SUTPHIN BLVD - ARCHER AV,-73.80800471963833,4.0,E-J-Z
72,SUTTER AVE,-73.9019160004208,4.0,L
221,SUTTER AVE - RUTLAND ROAD,-73.92252118536001,4.0,4-Mar
196,TIMES SQ - 42ND ST,-73.98769099825152,4.0,7-7 Express
79,TIMES SQ - 42ND ST,-73.98676800153976,4.0,N-Q-R-W
146,TIMES SQ - 42ND ST,-73.98622899953202,4.0,S
358,TIMES SQ - 42ND ST,-73.98749500051885,4.0,1/2/03
170,TREMONT AVE,-73.90522700122354,4.0,B-D
378,UNION SQ - 14TH ST,-73.99053886181645,4.0,N-Q-R-W
383,UNION SQ - 14TH ST,-73.99066976901818,4.0,L
104,UNION SQ - 14TH ST,-73.98995099881881,4.0,4-5-6-6 Express
35,UNION ST,-73.98310999909673,4.0,D-N-R
297,UTICA AVE,-73.93072899914027,4.0,A-C
270,VAN CORTLANDT PARK - 242ND ST,-73.89858300049647,4.0,1
213,VAN SICLEN AVE,-73.8903580002471,4.0,A-C
45,VAN SICLEN AVE,-73.88940491730106,4.0,4-Mar
11,VAN SICLEN AVE,-73.89165772702445,4.0,J-Z
100,VERNON BLVD - JACKSON AVE,-73.95358099875249,4.0,7-7 Express
83,W 4TH ST - WASHINGTON SQ (LOWER),-74.00030814755975,4.0,B-D-F-M
205,W 4TH ST - WASHINGTON SQ (UPPER),-74.00049500225435,4.0,A-C-E
197,W 8TH ST - NY AQUARIUM,-73.97595787413822,4.0,F-Q
279,WAKEFIELD - 241ST ST,-73.8506199987954,4.0,2
419,WALL ST,-74.01186199860112,4.0,5-Apr
429,WALL ST,-74.00909999844257,4.0,3-Feb
271,WEST FARMS SQ - E TREMONT AV,-73.87996127877184,4.0,5-Feb
201,WESTCHESTER SQ - E TREMONT AVE,-73.84295199925012,4.0,6-6 Express
420,WHITEHALL ST,-74.0130072374272,4.0,R-W
